sol,easting,northing,elevation,latitude,longitude
1153,8142461.578,-277043.204,-4434.44,-4.729146798,137.368251855
1155,8142436.964,-277073.348,-4433.25,-4.729661304,137.367836602
1158,8142394.255,-277120.957,-4432.24,-4.730473907,137.367116075
1160,8142353.549,-277156.251,-4433.88,-4.731076314,137.36642934
1162,8142331.236,-277186.861,-4432.34,-4.731598774,137.366052906
1167,8142334.524,-277225.311,-4429.35,-4.732255049,137.366108377
1168,8142328.076,-277260.982,-4427.47,-4.732863891,137.365999595
1172,8142342.624,-277304.211,-4425.77,-4.733601734,137.366245029
1173,8142331.618,-277347.64,-4424.96,-4.734342992,137.366059351
1174,8142311.747,-277359.256,-4424.92,-4.734541257,137.365724115
1179,8142311.841,-277360.407,-4424.86,-4.734560902,137.365725701
1181,8142313.656,-277365.484,-4424.59,-4.734647558,137.365756321
1183,8142305.903,-277367.838,-4423.93,-4.734687737,137.365625523
1185,8142337.369,-277372.076,-4422.92,-4.734760072,137.366156374
1187,8142364.165,-277362.938,-4422.87,-4.734604102,137.366608439
1192,8142397.31,-277381.172,-4421.88,-4.734915325,137.367167615
1194,8142419.762,-277418.595,-4419.54,-4.73555407,137.367546394
1196,8142447.694,-277408.268,-4419.91,-4.735377806,137.368017623
1204,8142447.694,-277408.268,-4419.91,-4.735377806,137.368017623
1215,8142399.974,-277386.212,-4421.87,-4.735001349,137.367212558
1216,8142389.38,-277349.423,-4424.14,-4.734373425,137.367033831
1221,8142393.078,-277345.996,-4423.69,-4.734314932,137.367096218
1243,8142394.138,-277350.085,-4423.43,-4.734384724,137.367114101
1244,8142392.42,-277350.687,-4423.84,-4.734394999,137.367085118
1248,8142350.691,-277368.101,-4423.15,-4.734692226,137.366381124
1249,8142300.585,-277331.199,-4426.71,-4.734062373,137.365535806
1250,8142303.198,-277332.097,-4426.54,-4.7340777,137.365579888
1255,8142295.678,-277319.263,-4427.13,-4.733858646,137.365453021
1256,8142275.353,-277304.917,-4427.63,-4.733613785,137.365110126
1257,8142275.353,-277304.917,-4427.63,-4.733613785,137.365110126
1260,8142273.11,-277298.55,-4428,-4.733505111,137.365072286
1262,8142216.041,-277264.705,-4430.07,-4.732927436,137.364109497
1264,8142192.7,-277261.485,-4432.08,-4.732872476,137.36371572
1267,8142171.172,-277272.43,-4433.45,-4.733059288,137.36335253
1269,8142146.869,-277294.45,-4432.62,-4.733435131,137.362942524
1274,8142119.123,-277323.019,-4427.36,-4.733922754,137.362474432
1276,8142112.2,-277324.081,-4426.57,-4.733940881,137.362357637
1281,8142103.901,-277313.547,-4426.39,-4.733761084,137.362217627
1282,8142084.482,-277313.388,-4426.46,-4.73375837,137.361890017
1283,8142045.965,-277319.2,-4427.29,-4.733857571,137.361240212
1284,8142022.258,-277324.221,-4427.06,-4.73394327,137.360840261
1285,8142022.258,-277324.221,-4427.06,-4.73394327,137.360840261
1289,8142014.672,-277312.249,-4426.88,-4.733738929,137.36071228
1290,8141994.691,-277302.092,-4426.67,-4.733565567,137.360375189
1292,8141991.622,-277298.056,-4427.03,-4.733496679,137.360323413
1294,8141976.353,-277300.208,-4427.86,-4.73353341,137.360065816
1296,8141972.67,-277298.991,-4427.82,-4.733512638,137.360003681
1298,8141937.93,-277305.43,-4429.65,-4.733622541,137.359417596
1301,8141934.474,-277309.292,-4429.44,-4.733688458,137.359359292
1303,8141934.474,-277309.292,-4429.44,-4.733688458,137.359359292
1305,8141934.474,-277309.292,-4429.44,-4.733688458,137.359359292
1309,8141929.358,-277303.915,-4429.13,-4.733596682,137.359272982
1310,8141909.092,-277307.104,-4430.93,-4.733651113,137.358931082
1311,8141909.016,-277298.94,-4431.18,-4.733511768,137.3589298
1315,8141908.328,-277299.881,-4431.25,-4.733527829,137.358918193
1316,8141922.662,-277305.739,-4429.56,-4.733627815,137.359160016
1317,8141927.062,-277302.491,-4429,-4.733572377,137.359234247
1329,8141923.447,-277301.279,-4429.29,-4.73355169,137.359173259
1342,8141925.151,-277298.638,-4429.25,-4.733506613,137.359202007
1344,8141906.404,-277303.434,-4431.24,-4.733588472,137.358885734
1346,8141898.722,-277297.615,-4433.32,-4.733489152,137.358756134
1349,8141892.227,-277302.08,-4434.49,-4.733565362,137.358646559
1352,8141885.377,-277306.399,-4434.86,-4.73363908,137.358530995
1353,8141843.401,-277326.741,-4434.87,-4.733986282,137.357822835
1357,8141836.603,-277325.053,-4435.59,-4.733957471,137.357708149
1369,8141834.982,-277356.361,-4433.26,-4.734491844,137.357680801
1371,8141851.814,-277382.155,-4430.25,-4.734932103,137.357964767
1373,8141863.274,-277409.784,-4429.46,-4.735403682,137.358158104
1376,8141865.058,-277427.297,-4429.39,-4.735702598,137.358188202
1378,8141858.257,-277469.145,-4428.65,-4.736416871,137.358073465
1383,8141850.53,-277498.728,-4427.95,-4.736921801,137.357943105
1384,8141815.073,-277547.59,-4426.35,-4.73775579,137.357344924
1385,8141823.892,-277613.049,-4421.74,-4.738873061,137.357493706
1386,8141824.176,-277614.266,-4421.69,-4.738893833,137.357498498
1387,8141822.926,-277626.832,-4420.6,-4.739108313,137.357477409
1398,8141775.341,-277656.75,-4419.32,-4.739618961,137.356674622
